Date,Value
10-Sep-2003,10.4
10-Oct-2003,10.6
22-Oct-2003,10.6
11-Nov-2003,10.7
29-Apr-2004,10.4
11-May-2004,11.8
25-May-2004,11.6
8-Jun-2004,11.6
24-Jun-2004,12.6
22-Jul-2004,12.3
23-Aug-2004,11.5
22-Sep-2004,11.5
20-Oct-2004,11.5
2-Nov-2004,11.5
17-Nov-2004,12.7
26-Apr-2005,11.8
10-May-2005,12.4
25-May-2005,12.1
9-Jun-2005,12.7
21-Jun-2005,12.3
21-Jul-2005,12.5
19-Aug-2005,12.5
13-Sep-2005,12.2
11-Oct-2005,11.9
27-Oct-2005,12.1
8-Nov-2005,12.4
11-Apr-2006,11.7
25-Apr-2006,11.2
11-May-2006,11.4
24-May-2006,11.7
7-Jun-2006,11.5
21-Jun-2006,11.4
18-Jul-2006,10.8
18-Aug-2006,10.7
15-Sep-2006,11.9
11-Oct-2006,12.1
25-Oct-2006,12.0
8-Nov-2006,11.3
1-May-2007,12.4
16-May-2007,12.6
30-May-2007,12.6
13-Jun-2007,12.6
10-Jul-2007,12.5
8-Aug-2007,12.4
5-Sep-2007,12.4
2-Oct-2007,13.2
30-Oct-2007,13.1
14-Nov-2007,12.1
23-Apr-2008,11.6
7-May-2008,11.8
20-May-2008,11.3
4-Jun-2008,11.7
18-Jun-2008,12.7
15-Jul-2008,12.2
12-Aug-2008,12.0
27-Aug-2008,12.4
12-Sep-2008,12.2
9-Oct-2008,12.2
22-Oct-2008,12.1
4-Nov-2008,12.0
21-Apr-2009,12.0
5-May-2009,11.4
19-May-2009,11.1
3-Jun-2009,11.5
17-Jun-2009,11.8
30-Jun-2009,11.4
29-Jul-2009,11.4
26-Aug-2009,11.3
23-Sep-2009,11.3
21-Oct-2009,11.9
5-Nov-2009,11.8
6-Apr-2010,11.2
21-Apr-2010,11.1
5-May-2010,10.9
18-May-2010,11.4
1-Jun-2010,11.0
30-Jun-2010,11.1
28-Jul-2010,11.5
25-Aug-2010,11.6
22-Sep-2010,11.7
6-Oct-2010,12.0
20-Oct-2010,11.9
3-Nov-2010,10.8
17-Nov-2010,11.3
26-Apr-2011,11.6
11-May-2011,11.2
24-May-2011,11.4
8-Jun-2011,11.2
22-Jun-2011,11.6
20-Jul-2011,12.2
17-Aug-2011,11.5
14-Sep-2011,11.2
12-Oct-2011,10.3
26-Oct-2011,10.5
10-Nov-2011,10.6
11-Apr-2012,10.9
25-Apr-2012,10.5
10-May-2012,11.0
23-May-2012,10.3
5-Jun-2012,10.3
19-Jun-2012,10.2
18-Jul-2012,10.7
14-Aug-2012,10.6
12-Sep-2012,12.4
11-Oct-2012,10.9
25-Oct-2012,10.6
8-Nov-2012,10.6
23-Apr-2013,10.4
7-May-2013,9.0
21-May-2013,10.6
4-Jun-2013,10.6
18-Jun-2013,10.8
16-Jul-2013,10.7
13-Aug-2013,10.8
10-Sep-2013,11.6
9-Oct-2013,12.4
22-Oct-2013,12.4
5-Nov-2013,12.4
19-Nov-2013,12.7
6-Apr-2010,11.1
21-Apr-2010,11.0
5-May-2010,10.7
18-May-2010,10.9
1-Jun-2010,11.3
30-Jun-2010,11.0
28-Jul-2010,11.3
25-Aug-2010,11.3
22-Sep-2010,11.5
6-Oct-2010,11.4
20-Oct-2010,11.3
3-Nov-2010,11.0
17-Nov-2010,10.5
26-Apr-2011,11.5
11-May-2011,11.3
24-May-2011,11.3
8-Jun-2011,11.2
22-Jun-2011,11.8
20-Jul-2011,12.0
17-Aug-2011,11.7
14-Sep-2011,11.4
12-Oct-2011,10.6
26-Oct-2011,10.7
10-Nov-2011,10.6
11-Apr-2012,10.9
25-Apr-2012,10.4
10-May-2012,11.1
23-May-2012,9.8
5-Jun-2012,10.7
19-Jun-2012,10.5
18-Jul-2012,10.7
14-Aug-2012,10.5
12-Sep-2012,10.2
11-Oct-2012,10.8
