id,start_x,start_y,end_x,end_y
0,5579,11.41,6706,10.75
1,6706,10.75,7833,10.09
2,7833,10.09,8960,11.34
3,8960,11.34,10090,12.41
4,10090,12.41,11110,11
5,11110,11,12340,11.34
6,12340,11.34,13470,12.1
