index_value,start_x,start_y,end_x,end_y
1,5579,11.4130937248975,6706,10.7538601947801
2,6706,10.7538601947801,7833,10.0937158759025
3,7833,10.0937158759025,8960,11.3444414044487
4,8960,11.3444414044487,10087,12.4064917935796
5,10087,12.4064917935796,11214,11.0442775658454
6,11214,11.0442775658454,12341,11.3432291927135
7,12341,11.3432291927135,13468,12.0966750758672
